"id","religion_1","religion_2","religion_3","religion_4","health_1","health_2","health_3","health_4","gender","age.c","education","household_income"
"1289078779","2","2","3","3","3","3","3","3","1",-12.424577373212,"4","4"
"1289251567","1","1","1","1","2","2","3","2","1",-16.424577373212,"3","2"
"1289192567",NA,"2","2","2","5","5","4","4","2",20.575422626788,"6","11"
"1289255343","4","3","3","4","4","5","4","4","2",31.575422626788,"5",NA
"1289251821","4","3","3","3","4","4","4","4","2",1.57542262678804,"2","5"
"1288665751",NA,NA,NA,NA,NA,"3","3","4","2",-6.42457737321196,"1",NA
"1288520001","4","4","3","3","4","5","3","4","1",21.575422626788,"4",NA
"1289283277","2","2","2","2","5","5","5","5","1",-16.424577373212,"5","10"
"1288998879","2","2","2","2","4","4","4","4","1",-7.42457737321196,"4","6"
"1289251671","1","1","1","1","4","4","4","4","2",24.575422626788,"4","6"
"1289251655","1","1","1","1","2","2","1","2","1",-6.42457737321196,"2","3"
"1284805011","1",NA,NA,"1","3",NA,NA,"3","1",27.575422626788,"2","3"
"1289238491","4","4","4","4","4","4","4","4","2",-14.424577373212,"5",NA
"1286868593",NA,"1","2","2","5","4","4","4","1",9.57542262678804,"4","6"
"1288999629","1","1","1","1","3","3","2","3","2",-3.42457737321196,"3",NA
"1289101773","1","1","1","1","4","4","4","5","1",18.575422626788,"5","7"
"1288861087","2","1","2","1","5","5","4","5","2",15.575422626788,"1","6"
"1289286061",NA,"3","2","2","4","5","4","3","1",23.575422626788,"4","2"
"1289251919","1","1","1","1","5","4","4","4","1",10.575422626788,"2","11"
"1288705839","3","2","2",NA,"2","4","4","2","2",-13.424577373212,"2","4"
"1288956799",NA,"2","2","2","4","4","4","3","1",-7.42457737321196,"2","4"
"1289123593",NA,"2","2","2","3","3","4","3","2",12.575422626788,"2",NA
"1289022049",NA,"2","2",NA,"5","4","4","5","2",-13.424577373212,"2","10"
"1289327101","1","1","1","1","4","3","4","4","2",4.57542262678804,"5",NA
"1288706129","3","3","2","3","3","3","3","3","2",14.575422626788,"4","4"
"1289169713","1","3","1","1","4","3","4","5","2",-24.424577373212,"5","6"
"1289281429","1",NA,NA,NA,"4","4","3",NA,"1",28.575422626788,"5",NA
"1289340953",NA,"1","2","2","5","5","5","5","1",17.575422626788,"4","5"
"1289022225","2","2","1","2","4","4","4","4","2",-17.424577373212,"2","9"
"1289369651","3","3","3","3","4","4","4","4","1",30.575422626788,"4","5"
"1289286063","2","2","2","1","2","2","2","3","1",16.575422626788,"4","2"
"1289327165",NA,"1","1","1","4","3","3","3","2",28.575422626788,"5","2"
"1288888577","2","2","2","2","3","2","3","3","2",18.575422626788,"3","3"
"1289192693",NA,"2","1","2","4","4","3","4","2",24.575422626788,"5","6"
"1288741281",NA,NA,"1",NA,NA,"5","4","4","2",3.57542262678804,"1","6"
"1289041389","1","1","1","1","3","4","4","4","2",-9.42457737321196,"2","4"
"1289413147","1","1","1","1","3","3","3","3","2",24.575422626788,"1","3"
"1289408499","1","2","1",NA,"4","4","4","5","1",30.575422626788,"2","5"
"1289340927",NA,NA,"2","3",NA,"3","3","3","2",-13.424577373212,"1","3"
"1289251827","1",NA,"1","1","4",NA,"3","3","1",-7.42457737321196,"5","11"
"1289371337","1","1","1",NA,"3","3","3","3","2",26.575422626788,"4",NA
"1289417311","2","1","1","1","4","4","4","5","2",26.575422626788,"2","3"
"1288956533","1","1","1","1","5","4","4","4","1",-1.42457737321196,"2",NA
"1289327161","1","1","1","1","3","2","2","3","2",32.575422626788,"3","4"
"1289251923","3","3","3","3","3","4","4","4","2",18.575422626788,"4","6"
"1289451967","2","2","2","2","3","2","2","3","1",2.57542262678804,"4","6"
"1289462751","1","3","3","2","3","3","3","4","2",7.57542262678804,"2","4"
"1289479897","3","2","3","2","3","3","3","3","1",19.575422626788,"4",NA
"1287336649","2","2","2","2","4","3","3","3","2",4.57542262678804,"5","6"
"1289251903",NA,"2",NA,"2","4","5",NA,"4","1",-16.424577373212,"4","9"
"1289498539",NA,"2",NA,"3","4","4","4","3","1",-19.424577373212,"2","2"
"1289326959","2","3","1",NA,"3","4","4","4","1",13.575422626788,"3",NA
"1289315549","2","1","1",NA,"3","3","4","3","1",-11.424577373212,"2",NA
"1289281453",NA,"2","3","2","5","5","5","5","1",10.575422626788,"4","5"
"1289281183",NA,"2","4","2","3","3","3","3","1",20.575422626788,"4",NA
"1289500725","1","2","1","1","4","4","4","4","2",8.57542262678804,"4","11"
"1288666345",NA,NA,NA,NA,"4",NA,NA,NA,"2",-7.42457737321196,NA,NA
"1289500643","2","2","2","2","4","4","3","3","1",19.575422626788,"4","6"
"1289543721","4","3","3","4","4","3","4","4","1",16.575422626788,"4","7"
"1289500641","1","1","1","1","5","5","5","5","1",5.57542262678804,"2","11"
"1289553395","3","4",NA,"3","4","4",NA,"4","1",-24.424577373212,"2","5"
"1289169603","4","3","3","3","3","3","3","3","1",25.575422626788,"2","3"
"1289281437",NA,"2","2","2","3","3","3","3","1",22.575422626788,"2","5"
"1286883351","1","1","1","1","4","3","4","4","1",4.57542262678804,"3",NA
